date,fee,price,share,market_symbol,type,id
2023-03-16,0.01,0.1,0.0000000,NYSE#NEE,Dividend,24fd3382-5412-47d3-a7dd-00bd593d72b1
2023-03-20,0,633.539978,0.0078921,NASDAQ#AVGO,Buy,41e10432-dd22-455f-8291-dd58ff8ce336
2023-03-21,0,0.059999999,0.0000000,NYSE#UNH,Dividend,c98580a3-881b-4f00-b7d7-78ed659dc75e
2023-03-24,0,0.01,0.0000000,NASDAQ#ODFL,Dividend,2ae96b30-a9d3-403a-9c2c-b9dbe55529ce
2023-03-25,0.02,0.140000001,0.0000000,NYSE#LMT,Dividend,247f7d3f-e425-4ca8-ad28-8e1d123dcffd
2023-03-29,0,247.61,0.0201927,NYSE#DHR,Buy,65947852-989c-4b0e-af88-88d49c55e143
2023-03-29,0,400.54,0.0124828,NYSE#DE,Buy,bbb8301a-424b-4d1f-88a7-c59221f33e7b
2023-03-30,0,220.3,0.0226959,NASDAQ#ADP,Buy,7197c1aa-834c-4a82-830c-177b8793053d
2023-04-01,0.01,0.1,0.0000000,NASDAQ#AVGO,Dividend,50281d01-9def-4c38-b07d-c2ab9129175c
2023-04-01,0.02,0.14,0.0000000,NASDAQ#PEP,Dividend,6c04ef09-c014-4e6c-af9d-089547a62ed8
2023-04-03,0,315.01,0.0172372,NASDAQ#VRTX,Buy,0ee02645-e35d-4a15-995f-80ff71d98482
2023-04-03,0,200.09,0.0249880,NASDAQ#TSLA,Buy,9528a8e3-2280-40fe-9fcd-e526664f30fb
2023-04-03,0,172.8,0.0289338,NASDAQ#NXST,Buy,ecc9bb3f-5921-40c8-a1a1-b8e503fa4cfa
2023-04-03,0,338.05,0.0147903,NASDAQ#ODFL,Buy,da87d3f3-84fb-4709-9ebb-b53f7ab2bf96
2023-04-03,0,217.65,0.0229726,NASDAQ#ADP,Buy,6c37a912-5306-49c5-9c9f-adb9b2da1353
2023-04-03,0,102.18,0.0293582,NASDAQ#AMZN,Buy,da44a813-0f67-4b53-8d41-e94ddc6961ce
2023-04-04,0,0.04,0.0000000,NASDAQ#ADP,Dividend,b9a39042-428d-42b1-a071-7c6ae80c5596
2023-04-05,0,193.12,0.0258898,NASDAQ#ENPH,Buy,99c4b628-a1ea-49cd-b606-c30bb0964a4c
2023-04-05,0,469.02,0.0063962,NYSE#NOC,Buy,06b06f37-2398-4544-a732-b5874433607f
2023-04-05,0,114.93,0.0261019,NYSE#XOM,Buy,2fc979a1-bd08-4fff-a902-c81954211a9e
2023-04-12,0,81.63,0.0627189,NYSE#ADM,Buy,029493b3-a9ed-4b2b-9598-33599ad1c29f
2023-04-12,0,79.13,0.0631855,NASDAQ#UFPI,Buy,d2a426e1-88a3-455d-97b3-67a9389b8eb6
2023-04-13,0,0.04,0.0000000,NYSE#TSM,Dividend,0b6ca64d-f3cf-44a3-a1cb-8593e47e481d
2023-04-14,0,212.9,0.0234845,NASDAQ#ENPH,Buy,3ef2c628-00b0-4f63-8708-5fb216a7e2b1
2023-04-14,0,389.05,0.0128516,NYSE#DE,Buy,9b07abe5-c65a-44cd-92a4-75eac51acc10
2023-04-15,0.03,0.26,0.0000000,NYSE#O,Dividend,f33ec1fa-3a73-4294-a0dd-7fc05b8252c1
2023-04-27,0,166.37,0.0624511,NASDAQ#ENPH,Buy,889dd0f6-8df8-4db9-9fac-1a2a77303095
2023-04-27,0,323.35,0.0154630,NASDAQ#VRTX,Buy,f0363f3d-7c63-485d-9351-48d91ac68807
2023-04-27,0,305.89,0.0326906,NASDAQ#ODFL,Buy,52182134-5b11-47fd-8a07-7e2fc7639771
2023-04-27,0,281.77,0.0177445,NASDAQ#SEDG,Buy,44d806f6-443a-4d3e-9d9f-426d5e980352
2023-04-28,0,219.27,0.0228025,NASDAQ#ADP,Buy,d4880710-10b4-467e-9979-0f56dd470a2f
2023-04-28,0,150.92,0.0209376,NYSE#ABBV,Buy,3f51a7fd-ebef-4f43-9eb5-c1f6880508d6
2023-04-28,0,164.38,0.0304158,NASDAQ#TSLA,Buy,e46d8d2e-358a-42a0-81a1-d8a4f0c52136
2023-04-28,0,78.31,0.0638471,NASDAQ#UFPI,Buy,3eb91d30-ae8b-4c19-b8ca-f48e65df5604
2023-04-28,0,233.06,0.0300341,NYSE#V,Buy,31aa6e3c-e7d2-4303-90c2-f8bc89a8ccde
2023-04-28,0,174.61,0.0286352,NASDAQ#NXST,Buy,e00059a3-9705-42c9-bc7f-c1465e1c36de
2023-04-29,0,278.23,0.0179702,NYSE#ACN,Buy,5844c64a-2ffd-463f-8c56-aa2df4cb48f0
2023-04-29,0,0.02,0.0000000,NYSE#DHR,Dividend,b601834b-679e-4248-b945-7fbe712eddcb
2023-05-02,0,381.88,0.0130930,NYSE#DE,Buy,2edc61dc-e37c-440e-a151-01ce7273d823
2023-05-02,0,0.05,0.0000000,NYSE#JPM,Dividend,447515ce-0347-479d-b2a0-9d2d77c1bb25
2023-05-06,0,160.34,0.0311833,NYSE#CVX,Buy,8218c81a-3bca-42c3-ac13-a7b1107c7b33
2023-05-06,0,241.95,0.0206650,NYSE#DHR,Buy,eb6849bb-dbe5-48b2-adc7-43334166c87a
2023-05-06,0,169.73,0.0589150,NASDAQ#TSLA,Buy,5371f4c9-d382-47f4-b5d6-4b73757003cc
2023-05-06,0,215.19,0.0232348,NASDAQ#ADP,Buy,07abb98d-837b-4fbb-99d0-11b1bd91060d
2023-05-06,0,290.9,0.0171876,NASDAQ#SEDG,Buy,15fe19ec-2db6-4534-ba07-969427db2ef2
2023-05-09,0,0.05,0.0000000,NYSE#DE,Dividend,6d51e7da-7b1c-4341-9334-e77462545cc9
2023-05-09,0.02,0.16,0.0000000,NYSE#APD,Dividend,1341f52a-ac9d-42a2-b057-e21a51a914fe
2023-05-10,0.01,0.07,0.0000000,NYSE#LOW,Dividend,e226cf41-bde6-4461-ae4c-09fb588078f2
2023-05-11,0,158.75,0.0314952,NASDAQ#NXST,Buy,9a4b5483-72f7-4c5e-9cc5-b26d5b2976cc
2023-05-11,0,229.42,0.0231015,NYSE#V,Buy,07595c7c-c431-4874-a07d-2da81189818c
2023-05-12,0,273.42,0.0109721,NYSE#ACN,Buy,43b8e4bd-5a34-49ec-90b0-16f99c967fec
2023-05-12,0,631.42,0.0047511,NASDAQ#AVGO,Buy,8a371718-f639-4a07-932e-71d83ef0dc67
2023-05-12,0,106.52,0.0281626,NYSE#XOM,Buy,a6695f6f-7d9d-4656-9c3c-71437d913b9d
2023-05-12,0,167.71,0.0178878,NASDAQ#ENPH,Buy,734eb089-fd9b-442c-b567-a85d513503e6
2023-05-15,0,75.78,0.0659752,NYSE#ADM,Buy,be41b862-be65-4862-bf2f-7a05c16e34a1
2023-05-15,0,308.8,0.0161915,NASDAQ#MSFT,Buy,c484fee8-d1af-4a12-87a5-78a9ff09981d
2023-05-16,0.03,0.26,0.0000000,NYSE#O,Dividend,40d021c8-eb7a-4c35-8397-e214086653d7
2023-05-16,0.02,0.19,0.0000000,NYSE#ABBV,Dividend,bd587185-afdb-42a8-87fa-821e35a353b2
2023-05-17,0,154.74,0.0323114,NYSE#CVX,Buy,ba3a2727-2616-4b86-a4f2-035f3c22f5d2
