date,ex_rate,thb,usd,id,note,type
2023-05-16,34.14,170.7,5,d8d27e47-f728-449c-8f8d-aa75e5a2bebd,,ExchangeToUSD
2023-05-15,33.86,507.9,15,b049ef83-73a0-4de3-833c-b029528dba4c,,ExchangeToUSD
2023-05-12,34.02,510.3,15,78ab4898-44c4-457f-aaae-355549c9f248,,ExchangeToUSD
2023-05-11,33.73,505.95,15,f14dba30-fa5c-4f83-b75e-f66c7363e546,,ExchangeToUSD
2023-05-06,33.96,509.4,15,9ed0b6f5-f1a9-4250-b6fb-abd08c2696a8,,ExchangeToUSD
2023-05-06,33.96,1018.8,30,773d6b28-f690-46b1-8d36-484393c742d9,,ExchangeToUSD
2023-05-02,34.33,514.95,15,d60acced-329c-48d9-9d04-ad3350047f72,,ExchangeToUSD
2023-06-30,35.45,1063.5,30,bb3bb608-33b5-4939-bd04-b88c6677a107,,ExchangeToUSD
2023-06-06,34.88,1046.4,30,a4d1c7fd-b170-4e4c-96ec-bb8329c07ce5,,ExchangeToUSD
2023-06-03,34.9,349,10,f4c5092a-57f3-446f-b8e9-fffdd769e948,,ExchangeToUSD
2023-06-02,34.84,174.2,5,bade8455-d44f-441a-9211-bc377294f9e4,,ExchangeToUSD
2023-06-02,34.84,1045.2,30,607e8d86-b222-4f8c-9cfb-20e7e17acced,,ExchangeToUSD
2023-07-31,34.23,513.45,15,7f5daefb-8f28-4d4c-8773-f789e0543fef,,ExchangeToUSD
2023-07-31,34.23,1026.9,30,71ce41f3-f223-45b6-bdaa-3980e15ec24e,,ExchangeToUSD
2023-07-25,34.57,345.7,10,4031d8ca-1490-4f1a-94e0-f52ebf0218f8,,ExchangeToUSD
2023-08-31,35.03,350.3,10,895dd491-c74a-4ad8-b209-1326eadb450d,,ExchangeToUSD
2023-08-29,35.32,353.2,10,de0cdbbc-6e0f-46f5-ac2b-ad34071abd04,,ExchangeToUSD
2023-08-19,35.49,887.25,25,bba4391c-bea0-4fc5-9d6f-40b17fe7ce5c,,ExchangeToUSD
2023-08-19,35.49,2129.4,60,7a50c907-323f-4f38-ba4d-8183107460d8,,ExchangeToUSD
2023-08-05,34.7,347,10,2eac4762-eb97-49e8-8ac7-391a3569f9c4,,ExchangeToUSD
2023-09-26,36.25,1450,40,684b552d-0648-4886-bdad-b817226215a3,,ExchangeToUSD
2023-09-11,35.61,356.1,10,ab85f394-5c31-41b9-af4d-4ef04a307301,,ExchangeToUSD
2023-09-11,35.63,1068.9,30,9fe30c64-7ba2-4ede-915f-f7548966c9b6,,ExchangeToUSD
2023-10-25,36.26,999.69,27.57,5937bfdd-6173-416e-a111-af23e98f6739,,ExchangeToUSD
2023-11-29,34.87,999.72,28.67,fc3d5d0c-f935-423f-913e-f2cfff026aaa,,ExchangeToUSD
2023-12-25,34.68,2000,57.67,a4e3f24c-c4da-4e90-9cca-3716147016a3,,ExchangeToUSD
2024-01-25,35.81,999.82,27.92,c2a41e1d-e58f-42ac-9832-d186f9215e64,,ExchangeToUSD
2024-02-23,36.08,999.78,27.71,00be67bb-b764-4ff4-aa81-e8de8c8c8c67,,ExchangeToUSD
